
schema_name table_name       column_name     data_type max_length is_nullable
----------- ----------       -----------     --------- ---------- -----------
dbo         AGENDA           NROPAC          int                4        True
dbo         ANAMNESE_PERG    NROQUE          int                4       False
dbo         ANAMNESE_PERG    NROPER          int                4       False
dbo         ANAMNESE_PERG    TEXPER          varchar          255        True
dbo         ANAMNESE_PERG    TIPRES          smallint           2        True
dbo         ANAMNESE_PERG    TIPPER          smallint           2        True
dbo         ANAMNESE_PERG    TEXMEN          varchar          255        True
dbo         ANAMNESE_QUEST   NROQUE          int                4       False
dbo         ANAMNESE_QUEST   NOME            varchar           40       False
dbo         ANAMNESE_RESP    NROPAC          int                4       False
dbo         ANAMNESE_RESP    NROQUE          int                4       False
dbo         ANAMNESE_RESP    NROPER          int                4       False
dbo         ANAMNESE_RESP    RESPOSTA        smallint           2        True
dbo         ANAMNESE_RESP    COMPLEM         varchar          255        True
dbo         ARCADA           NROPAC          int                4       False
dbo         CATALOGO         NROPAC          int                4       False
dbo         CCCIRURGIAO      NROCCPAC        int                4        True
dbo         CCPACIENTE       NROPAC          int                4       False
dbo         CONTATO          EMAIL           varchar           50        True
dbo         CONVENIO         EMAIL_CONTATO   varchar           50        True
dbo         CONVENIO         EMAIL_TECNICO   varchar           50        True
dbo         CTRLPROTETICO    NROPAC          int                4       False
dbo         CTRLPROTETICO    NROINTPAC       int                4        True
dbo         CUSTOMDATA       NROPAC          int                4       False
dbo         CUSTOMDATA       NROINTPAC       int                4        True
dbo         CUSTOMMEMO       NROPAC          int                4       False
dbo         CUSTOMMEMO       NROINTPAC       int                4        True
dbo         DEL_AGENDA       NROPAC          int                4        True
dbo         DENTE            NROPAC          int                4       False
dbo         DENTE            NROINTPAC       int                4       False
dbo         EXAMEPERIO       NROPAC          int                4       False
dbo         FACE             NROPAC          int                4       False
dbo         FACE             NROINTPAC       int                4       False
dbo         HISTORICO        NROPAC          int                4       False
dbo         HISTORICO        NROINTPAC       int                4        True
dbo         INTERVENCAO      NROPAC          int                4       False
dbo         INTERVENCAO      NROINTPAC       int                4       False
dbo         INTERVENCAO      VALOR_PACIENTE  money              8        True
dbo         INTERVENCAO      VALOR_TAB_PAC   money              8        True
dbo         ITEMPERIO        NROPAC          int                4       False
dbo         LOG_DOCUMENTO    NROPAC          int                4       False
dbo         PESSOAL          NROPAC          int                4       False
dbo         PESSOAL          CORRESPONDENCIA smallint           2        True
dbo         PESSOAL          EMAIL           varchar           50        True
dbo         PLACA            NROPAC          int                4       False
dbo         PRESTADOR        EMAIL           varchar           50        True
dbo         RECIBO           NROPAC          int                4        True
dbo         RECIBO           CPFPAC          varchar           20        True
dbo         REST_TERAPEUTICA ID_PACIENTE     int                4       False
dbo         RETORNO          NROPAC          int                4       False
dbo         TAB_PRC_ITEM     VALOR_PACIENTE  money              8        True
dbo         TMP_CONTAS       NROPAC          int                4        True
dbo         TMP_CONTAS       NOMEPAC         varchar           50        True
dbo         TRATAMENTO       NROPAC          int                4       False
dbo         UNIDADE          EMAIL           varchar           50        True
