"questionario_id_origem","pergunta_id_origem","total_respostas","total_pacientes_distintos","observacoes"
"1","1","1","1","Resumo agregado; sem exportar conteúdo clínico."
"1","2","1","1","Resumo agregado; sem exportar conteúdo clínico."
"1","3","1","1","Resumo agregado; sem exportar conteúdo clínico."
"1","4","1","1","Resumo agregado; sem exportar conteúdo clínico."
"1","5","1","1","Resumo agregado; sem exportar conteúdo clínico."
"1","6","1","1","Resumo agregado; sem exportar conteúdo clínico."
"1","7","1","1","Resumo agregado; sem exportar conteúdo clínico."
"1","8","1","1","Resumo agregado; sem exportar conteúdo clínico."
"1","9","1","1","Resumo agregado; sem exportar conteúdo clínico."
"1","10","1","1","Resumo agregado; sem exportar conteúdo clínico."
"1","11","1","1","Resumo agregado; sem exportar conteúdo clínico."
"1","12","1","1","Resumo agregado; sem exportar conteúdo clínico."
"1","13","1","1","Resumo agregado; sem exportar conteúdo clínico."
"1","14","1","1","Resumo agregado; sem exportar conteúdo clínico."
"1","15","1","1","Resumo agregado; sem exportar conteúdo clínico."
"1","16","1","1","Resumo agregado; sem exportar conteúdo clínico."
"1","17","1","1","Resumo agregado; sem exportar conteúdo clínico."
"1","18","1","1","Resumo agregado; sem exportar conteúdo clínico."
"1","19","1","1","Resumo agregado; sem exportar conteúdo clínico."
"1","20","1","1","Resumo agregado; sem exportar conteúdo clínico."
"1","21","1","1","Resumo agregado; sem exportar conteúdo clínico."
"1","22","1","1","Resumo agregado; sem exportar conteúdo clínico."
"1","23","1","1","Resumo agregado; sem exportar conteúdo clínico."
"1","24","1","1","Resumo agregado; sem exportar conteúdo clínico."
"1","25","1","1","Resumo agregado; sem exportar conteúdo clínico."
"1","26","1","1","Resumo agregado; sem exportar conteúdo clínico."
"1","27","1","1","Resumo agregado; sem exportar conteúdo clínico."
"1","28","1","1","Resumo agregado; sem exportar conteúdo clínico."
"1","29","1","1","Resumo agregado; sem exportar conteúdo clínico."
"1","30","1","1","Resumo agregado; sem exportar conteúdo clínico."
"1","31","1","1","Resumo agregado; sem exportar conteúdo clínico."
"1","32","1","1","Resumo agregado; sem exportar conteúdo clínico."
"1","33","1","1","Resumo agregado; sem exportar conteúdo clínico."
"1","34","1","1","Resumo agregado; sem exportar conteúdo clínico."
"1","35","1","1","Resumo agregado; sem exportar conteúdo clínico."
"3","1","3","3","Resumo agregado; sem exportar conteúdo clínico."
"3","2","3","3","Resumo agregado; sem exportar conteúdo clínico."
"3","3","3","3","Resumo agregado; sem exportar conteúdo clínico."
"3","4","3","3","Resumo agregado; sem exportar conteúdo clínico."
"3","5","3","3","Resumo agregado; sem exportar conteúdo clínico."
"3","6","3","3","Resumo agregado; sem exportar conteúdo clínico."
"3","7","3","3","Resumo agregado; sem exportar conteúdo clínico."
"3","8","3","3","Resumo agregado; sem exportar conteúdo clínico."
"3","9","3","3","Resumo agregado; sem exportar conteúdo clínico."
"3","10","3","3","Resumo agregado; sem exportar conteúdo clínico."
"3","11","3","3","Resumo agregado; sem exportar conteúdo clínico."
"3","12","3","3","Resumo agregado; sem exportar conteúdo clínico."
"4","1","277","277","Resumo agregado; sem exportar conteúdo clínico."
"4","2","277","277","Resumo agregado; sem exportar conteúdo clínico."
"4","3","277","277","Resumo agregado; sem exportar conteúdo clínico."
