fonte,tabela_origem,id_origem,questionario_id_origem,questionario_nome,ordem,texto,tipo_pergunta,tipo_resposta,obrigatoria,opcoes,ativo,created_at,updated_at,observacoes
clinica_1_pos_importacao,anamnese_perguntas,18,2,Principal,1,Esta bem de saude no momento?,1,1,,,true,2026-03-17 21:09:36.226119-03:00,2026-03-17 21:09:36.226119-03:00,Pergunta candidata do seed operacional da clínica 1.
clinica_1_pos_importacao,anamnese_perguntas,19,2,Principal,2,Quando fez seu ultimo tratamento medico?,1,1,,,true,2026-03-17 21:09:36.226119-03:00,2026-03-17 21:09:36.226119-03:00,Pergunta candidata do seed operacional da clínica 1.
clinica_1_pos_importacao,anamnese_perguntas,20,2,Principal,3,Esta atualmente em tratamento medico?,1,1,,,true,2026-03-17 21:09:36.226119-03:00,2026-03-17 21:09:36.226119-03:00,Pergunta candidata do seed operacional da clínica 1.
clinica_1_pos_importacao,anamnese_perguntas,21,2,Principal,4,Apresenta alergia a medicamentos? Quais?,1,1,,,true,2026-03-17 21:09:36.226119-03:00,2026-03-17 21:09:36.226119-03:00,Pergunta candidata do seed operacional da clínica 1.
clinica_1_pos_importacao,anamnese_perguntas,22,2,Principal,5,Possui alguma doenca grave? Qual?,1,1,,,true,2026-03-17 21:09:36.226119-03:00,2026-03-17 21:09:36.226119-03:00,Pergunta candidata do seed operacional da clínica 1.
clinica_1_pos_importacao,anamnese_perguntas,23,2,Principal,6,Esta tomando algum medicamento? Qual?,1,1,,,true,2026-03-17 21:09:36.226119-03:00,2026-03-17 21:09:36.226119-03:00,Pergunta candidata do seed operacional da clínica 1.
clinica_1_pos_importacao,anamnese_perguntas,24,2,Principal,7,Quando fez seu ultimo tratamento dentario?,1,1,,,true,2026-03-17 21:09:36.226119-03:00,2026-03-17 21:09:36.226119-03:00,Pergunta candidata do seed operacional da clínica 1.
clinica_1_pos_importacao,anamnese_perguntas,25,2,Principal,8,Sente dificuldade em abrir a boca,1,1,,,true,2026-03-17 21:09:36.226119-03:00,2026-03-17 21:09:36.226119-03:00,Pergunta candidata do seed operacional da clínica 1.
clinica_1_pos_importacao,anamnese_perguntas,26,2,Principal,9,Range os dentes a noite?,1,1,,,true,2026-03-17 21:09:36.226119-03:00,2026-03-17 21:09:36.226119-03:00,Pergunta candidata do seed operacional da clínica 1.
clinica_1_pos_importacao,anamnese_perguntas,27,2,Principal,10,Aperta os dentes costumeiramente?,1,1,,,true,2026-03-17 21:09:36.226119-03:00,2026-03-17 21:09:36.226119-03:00,Pergunta candidata do seed operacional da clínica 1.
clinica_1_pos_importacao,anamnese_perguntas,28,2,Principal,11,Alguma complicacao durante tratamento odontologico?,1,1,,,true,2026-03-17 21:09:36.226119-03:00,2026-03-17 21:09:36.226119-03:00,Pergunta candidata do seed operacional da clínica 1.
clinica_1_pos_importacao,anamnese_perguntas,29,2,Principal,12,Tem sinusite?,1,1,,,true,2026-03-17 21:09:36.226119-03:00,2026-03-17 21:09:36.226119-03:00,Pergunta candidata do seed operacional da clínica 1.
clinica_1_pos_importacao,anamnese_perguntas,30,2,Principal,13,Tem perdido peso nos ultimos meses?,1,1,,,true,2026-03-17 21:09:36.226119-03:00,2026-03-17 21:09:36.226119-03:00,Pergunta candidata do seed operacional da clínica 1.
clinica_1_pos_importacao,anamnese_perguntas,31,2,Principal,14,Tem ganho peso nos ultimos meses?,1,1,,,true,2026-03-17 21:09:36.226119-03:00,2026-03-17 21:09:36.226119-03:00,Pergunta candidata do seed operacional da clínica 1.
clinica_1_pos_importacao,anamnese_perguntas,32,2,Principal,15,Ja foi hospitalizado(a) alguma vez?,1,1,,,true,2026-03-17 21:09:36.226119-03:00,2026-03-17 21:09:36.226119-03:00,Pergunta candidata do seed operacional da clínica 1.
clinica_1_pos_importacao,anamnese_perguntas,33,2,Principal,16,Foi submetido(a) a cirurgia?,1,1,,,true,2026-03-17 21:09:36.226119-03:00,2026-03-17 21:09:36.226119-03:00,Pergunta candidata do seed operacional da clínica 1.
clinica_1_pos_importacao,anamnese_perguntas,34,2,Principal,17,Ja recebeu transfusao de sangue?,1,1,,,true,2026-03-17 21:09:36.226119-03:00,2026-03-17 21:09:36.226119-03:00,Pergunta candidata do seed operacional da clínica 1.
clinica_1_pos_importacao,anamnese_perguntas,203,8,Implante,1,Realizado Rx Panorâmico ?,1,1,,,true,2026-05-15 07:36:49.229910-03:00,2026-05-15 07:36:49.229910-03:00,Pergunta candidata do seed operacional da clínica 1.
clinica_1_pos_importacao,anamnese_perguntas,204,8,Implante,2,Realizado Rx Periapical ?,1,1,,,true,2026-05-15 07:36:49.229910-03:00,2026-05-15 07:36:49.229910-03:00,Pergunta candidata do seed operacional da clínica 1.
clinica_1_pos_importacao,anamnese_perguntas,205,8,Implante,3,Realizado modelo de estudo ?,1,1,,,true,2026-05-15 07:36:49.229910-03:00,2026-05-15 07:36:49.229910-03:00,Pergunta candidata do seed operacional da clínica 1.
clinica_1_pos_importacao,anamnese_perguntas,206,8,Implante,4,Realizado guia cirúrgico ?,1,1,,,true,2026-05-15 07:36:49.229910-03:00,2026-05-15 07:36:49.229910-03:00,Pergunta candidata do seed operacional da clínica 1.
clinica_1_pos_importacao,anamnese_perguntas,207,8,Implante,5,Realizado Tomografia ?,1,1,,,true,2026-05-15 07:36:49.229910-03:00,2026-05-15 07:36:49.229910-03:00,Pergunta candidata do seed operacional da clínica 1.
