procedimento_id,procedimento_codigo,tabela_nome,procedimento_generico_id_atual,generico_referencia_codigo,generico_referencia_nome,vinculo_id,material_id,material_descricao,quantidade,unidade,valor_unitario,origem_atual_no_sistema,existe_no_generico_00205,quantidade_no_generico_00205,classificacao_sugerida,observacao,decisao_usuario
40595,5000,PARTICULAR,null,00205,Botox,119962,3355,Álcool 70%,20,,,v?nculo direto do procedimento 5000,sim,20,prov?vel herdado antigo do gen?rico 00205,material tamb?m existe no footprint do gen?rico 00205,
40595,5000,PARTICULAR,null,00205,Botox,119963,3358,Algodão Hidrófilo 500mg,3,,,v?nculo direto do procedimento 5000,sim,3,prov?vel herdado antigo do gen?rico 00205,material tamb?m existe no footprint do gen?rico 00205,
40595,5000,PARTICULAR,null,00205,Botox,119964,3365,Babador Descartável,1,,,v?nculo direto do procedimento 5000,sim,1,duplicado,material tamb?m existe no footprint do gen?rico 00205; duplicidade destacada nos relat?rios anteriores,
40595,5000,PARTICULAR,null,00205,Botox,119965,3558,BARREIRA - Saco Hamburguer 22x17 - Pacote com 100,2,,,v?nculo direto do procedimento 5000,sim,2,prov?vel herdado antigo do gen?rico 00205,material tamb?m existe no footprint do gen?rico 00205,
40595,5000,PARTICULAR,null,00205,Botox,119966,3556,BARREIRA - Saquinho de Juju (canetas) - Pacote com,3,,,v?nculo direto do procedimento 5000,sim,3,prov?vel herdado antigo do gen?rico 00205,material tamb?m existe no footprint do gen?rico 00205,
40595,5000,PARTICULAR,null,00205,Botox,119967,3559,BARREIRA - Saquinho para Óculos - Pacote com 100 u,1,,,v?nculo direto do procedimento 5000,sim,1,prov?vel herdado antigo do gen?rico 00205,material tamb?m existe no footprint do gen?rico 00205,
40595,5000,PARTICULAR,null,00205,Botox,119968,3557,BARREIRA - Saquinho para Refletor - Pacote com 150,2,,,v?nculo direto do procedimento 5000,sim,2,prov?vel herdado antigo do gen?rico 00205,material tamb?m existe no footprint do gen?rico 00205,
40595,5000,PARTICULAR,null,00205,Botox,119969,3434,BOTOX,1,,,v?nculo direto do procedimento 5000,sim,1,prov?vel herdado antigo do gen?rico 00205,material tamb?m existe no footprint do gen?rico 00205,
40595,5000,PARTICULAR,null,00205,Botox,119970,3445,Copo Descartável Café CONSULTÓRIO,1,,,v?nculo direto do procedimento 5000,sim,1,prov?vel herdado antigo do gen?rico 00205,material tamb?m existe no footprint do gen?rico 00205,
40595,5000,PARTICULAR,null,00205,Botox,119971,3481,Gorro Branco com Elástico,3,,,v?nculo direto do procedimento 5000,sim,3,prov?vel herdado antigo do gen?rico 00205,material tamb?m existe no footprint do gen?rico 00205,
40595,5000,PARTICULAR,null,00205,Botox,119972,3482,Guardanapo de Papel Grande - Pacote com 100 unidad,2,,,v?nculo direto do procedimento 5000,sim,2,prov?vel herdado antigo do gen?rico 00205,material tamb?m existe no footprint do gen?rico 00205,
40595,5000,PARTICULAR,null,00205,Botox,119973,3517,Luva de Procedimento,4,,,v?nculo direto do procedimento 5000,sim,4,prov?vel herdado antigo do gen?rico 00205,material tamb?m existe no footprint do gen?rico 00205,
40595,5000,PARTICULAR,null,00205,Botox,119974,3518,Máscara com Elastico,2,,,v?nculo direto do procedimento 5000,sim,2,prov?vel herdado antigo do gen?rico 00205,material tamb?m existe no footprint do gen?rico 00205,
40595,5000,PARTICULAR,null,00205,Botox,119975,3563,Seringa Descartável - 1ml,2,,,v?nculo direto do procedimento 5000,sim,2,prov?vel herdado antigo do gen?rico 00205,material tamb?m existe no footprint do gen?rico 00205,
40595,5000,PARTICULAR,null,00205,Botox,119976,3562,Seringa Descartável - 3ml,1,,,v?nculo direto do procedimento 5000,sim,1,prov?vel herdado antigo do gen?rico 00205,material tamb?m existe no footprint do gen?rico 00205,
40595,5000,PARTICULAR,null,00205,Botox,119977,3577,Vaselina Líquida,10,,,v?nculo direto do procedimento 5000,sim,10,prov?vel herdado antigo do gen?rico 00205,material tamb?m existe no footprint do gen?rico 00205,
40595,5000,PARTICULAR,null,00205,Botox,119978,3578,Vaselina Sólida,5,,,v?nculo direto do procedimento 5000,sim,5,prov?vel herdado antigo do gen?rico 00205,material tamb?m existe no footprint do gen?rico 00205,
