tabela,checksum_local,checksum_dry_run,status
clinicas,21ff7fede0c8791e9be9666666885c464949d906ee2fd0cf707fd5ad04e92868,7dff9b1805e26a22beab29827f7dc4e6d8ed5564142e73d6e6f469b90ff0f0a0,DIFERENTE
usuarios,0dda73679db42826940b9b3a85e67f4ac8c9622a162d7df8351bd9d9f0716ace,0dda73679db42826940b9b3a85e67f4ac8c9622a162d7df8351bd9d9f0716ace,IGUAL
unidade_atendimento,0ff7bfc24f0245a4d9c59d2ab225a4bd2008b37df83e05b5efb02177c92a9866,6a533f7345acd9d38b3f7166c249df1bcb4a54d2e772531e43fc170b04f59405,DIFERENTE
prestador_odonto,f2f1990b74fc4daeb36300a2a271f0b8d1f750cbc1631702e087ef9a1a543838,5c3b5332d36c9abcbffe7a656323199dabe8a56b86159c8ae92561998a6bffce,DIFERENTE
access_profile,8f5025d45d8de6a37735f58388e5641357288a8a48c97fcc6cf616b196642d20,82592a76fc3b4dd306701a5299dfe405e63c6f0cbcfc0365560924458031d508,DIFERENTE
usuario_perfil_acesso,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,IGUAL
pacientes,841396225714ec0e5b356ccfb5dc4da99bc7f9c684c1e3747e0eabe3cc156117,56b48fb0898efb660f5b5135bcad154db38731fe9d48f32c78406bae98607a59,DIFERENTE
tratamento,a0ccb11a9e39da8c6f2525c155d80532315ac4b80049a1a60d0a6d59d060660c,671d0a57470cf446cf8939bdadd3dbabee7c5e6802fdc7aaea72f4a0acad6007,DIFERENTE
procedimento,fd0eb9154355f17bc865f41c25330befa0e1f423c41ee31a1a3e2efb98db0392,fd0eb9154355f17bc865f41c25330befa0e1f423c41ee31a1a3e2efb98db0392,IGUAL
agenda_legado_evento,4ea261921432138efabd36440fa84ca48f92ca95c3a9d887fcec64a8af3ccf40,4ea261921432138efabd36440fa84ca48f92ca95c3a9d887fcec64a8af3ccf40,IGUAL
