tabela,clinica_id,linhas
access_profile,13,10
access_profile,15,10
agenda_legado_evento,1,14044
anamnese_perguntas,1,130
anamnese_perguntas,4,17
anamnese_perguntas,13,41
anamnese_perguntas,15,41
anamnese_questionarios,1,5
anamnese_questionarios,4,1
anamnese_questionarios,13,3
anamnese_questionarios,15,3
anamnese_respostas,1,1
anamnese_respostas,4,1
categoria_financeira,1,84
categoria_financeira,4,99
categoria_financeira,13,86
categoria_financeira,15,86
cenario,1,1
cenario,4,1
contato,1,107
convenio_odonto,1,10
convenio_odonto,4,10
convenio_odonto,13,10
convenio_odonto,15,10
doenca_cid,1,14486
doenca_cid,4,14486
doenca_cid,13,14486
doenca_cid,15,14486
etiqueta_modelo,1,9
etiqueta_modelo,4,8
etiqueta_modelo,13,8
etiqueta_modelo,15,8
grupo_financeiro,1,13
grupo_financeiro,4,14
grupo_financeiro,13,13
grupo_financeiro,15,13
indice_cotacao,1,1
indice_financeiro,1,4
indice_financeiro,4,4
indice_financeiro,13,4
indice_financeiro,15,4
item_auxiliar,1,1225
item_auxiliar,4,1229
item_auxiliar,13,1226
item_auxiliar,15,1226
lancamento,1,2099
lista_material,1,1
lista_material,4,2
lista_material,13,1
lista_material,15,1
medicamento,1,67
medicamento,4,67
medicamento,15,1
modelos_documento,1,126
modelos_documento,15,1
modelos_documento,,60
motivo_agendamento,1,7
motivo_agendamento,4,7
motivo_agendamento,13,7
motivo_agendamento,15,7
pacientes,1,1627
pacientes,4,1
pacientes,15,1
plano_odonto,1,10
plano_odonto,4,10
plano_odonto,13,10
plano_odonto,15,10
plataforma_assinaturas,1,1
plataforma_assinaturas,4,1
plataforma_assinaturas,13,1
plataforma_assinaturas,15,1
prestador_odonto,1,5
prestador_odonto,4,1
prestador_odonto,13,2
prestador_odonto,15,2
procedimento,1,811
procedimento,4,448
procedimento,13,1599
procedimento,15,1599
procedimento_fase,1,4
procedimento_generico,1,591
procedimento_generico,4,7
procedimento_generico,13,591
procedimento_generico,15,591
procedimento_generico_fase,1,4
procedimento_generico_material,1,1714
procedimento_generico_material,4,32
procedimento_material,1,3160
procedimento_material,4,3124
procedimento_tabela,1,5
procedimento_tabela,4,2
procedimento_tabela,13,10
procedimento_tabela,15,10
protetico,1,5
servico_protetico,1,248
simbolo_grafico_catalogo,1,141
simbolo_grafico_catalogo,4,142
simbolo_grafico_catalogo,13,138
simbolo_grafico_catalogo,15,138
tratamento,1,2
unidade_atendimento,1,4
unidade_atendimento,13,1
unidade_atendimento,15,1
usuarios,1,7
usuarios,4,2
usuarios,13,2
usuarios,15,3
