origem,campo,destino,cardinalidade,qtd_orfaos
access_profile,clinica_id,clinicas,N:1,0
agenda_legado_bloqueio,clinica_id,clinicas,N:1,0
agenda_legado_evento,clinica_id,clinicas,N:1,0
anamnese_perguntas,clinica_id,clinicas,N:1,0
anamnese_perguntas,questionario_id,anamnese_questionarios,N:1,0
anamnese_questionarios,clinica_id,clinicas,N:1,0
anamnese_respostas,clinica_id,clinicas,N:1,0
anamnese_respostas,paciente_id,pacientes,N:1,0
anamnese_respostas,pergunta_id,anamnese_perguntas,N:1,0
anamnese_respostas,questionario_id,anamnese_questionarios,N:1,0
assinaturas,clinica_id,clinicas,N:1,0
assinaturas,plano_id,planos,N:1,0
calendario_faturamento_odonto,clinica_id,clinicas,N:1,0
calendario_faturamento_odonto,convenio_id,convenio_odonto,N:1,0
categoria_financeira,clinica_id,clinicas,N:1,0
categoria_financeira,grupo_id,grupo_financeiro,N:1,0
cenario,clinica_id,clinicas,N:1,0
contato,clinica_id,clinicas,N:1,0
contato,protetico_id,protetico,N:1,0
controle_protetico,cirurgiao_id,usuarios,N:1,0
controle_protetico,clinica_id,clinicas,N:1,0
controle_protetico,paciente_id,pacientes,N:1,0
controle_protetico,protetico_id,protetico,N:1,0
controle_protetico,servico_protetico_id,servico_protetico,N:1,0
convenio_odonto,clinica_id,clinicas,N:1,0
doenca_cid,clinica_id,clinicas,N:1,0
etiqueta_modelo,clinica_id,clinicas,N:1,0
etiqueta_modelo,modelo_documento_id,modelos_documento,N:1,0
etiqueta_modelo,padrao_id,etiqueta_padrao,N:1,0
grupo_financeiro,clinica_id,clinicas,N:1,0
indice_cotacao,clinica_id,clinicas,N:1,0
indice_cotacao,indice_id,indice_financeiro,N:1,0
indice_financeiro,clinica_id,clinicas,N:1,0
item_auxiliar,clinica_id,clinicas,N:1,0
lancamento,categoria_id,categoria_financeira,N:1,0
lancamento,clinica_id,clinicas,N:1,0
lista_material,clinica_id,clinicas,N:1,0
material,lista_id,lista_material,N:1,0
medicamento,clinica_id,clinicas,N:1,0
modelos_documento,clinica_id,clinicas,N:1,0
motivo_agendamento,clinica_id,clinicas,N:1,0
odontograma_arcada_slots,clinica_id,clinicas,N:1,0
odontograma_arcada_slots,paciente_id,pacientes,N:1,0
odontograma_arcada_slots,tratamento_id,tratamento,N:1,0
odontograma_dentes,clinica_id,clinicas,N:1,0
odontograma_dentes,intervencao_id,odontograma_intervencoes,N:1,0
odontograma_faces,clinica_id,clinicas,N:1,0
odontograma_faces,intervencao_id,odontograma_intervencoes,N:1,0
odontograma_intervencoes,clinica_id,clinicas,N:1,0
odontograma_intervencoes,paciente_id,pacientes,N:1,0
odontograma_intervencoes,prestador_id,prestador_odonto,N:1,0
odontograma_intervencoes,procedimento_id,procedimento,N:1,0
odontograma_intervencoes,status_id,odontograma_intervencao_status,N:1,0
odontograma_intervencoes,tratamento_id,tratamento,N:1,0
pacientes,clinica_id,clinicas,N:1,0
plano_odonto,clinica_id,clinicas,N:1,0
plano_odonto,convenio_id,convenio_odonto,N:1,0
plataforma_assinaturas,clinica_id,clinicas,N:1,0
plataforma_cobrancas,clinica_id,clinicas,N:1,0
prestador,clinica_id,clinicas,N:1,0
prestador_comissao,clinica_id,clinicas,N:1,0
prestador_comissao,convenio_id,convenio_odonto,N:1,0
prestador_comissao,prestador_id,prestador,N:1,0
prestador_comissao,procedimento_generico_id,procedimento_generico,N:1,0
prestador_comissao_odonto,clinica_id,clinicas,N:1,0
prestador_comissao_odonto,convenio_id,convenio_odonto,N:1,0
prestador_comissao_odonto,prestador_id,prestador_odonto,N:1,0
prestador_comissao_odonto,procedimento_generico_id,procedimento_generico,N:1,0
prestador_credenciamento,clinica_id,clinicas,N:1,0
prestador_credenciamento,convenio_id,convenio_odonto,N:1,0
prestador_credenciamento,prestador_id,prestador,N:1,0
prestador_credenciamento_odonto,clinica_id,clinicas,N:1,0
prestador_credenciamento_odonto,convenio_id,convenio_odonto,N:1,0
prestador_credenciamento_odonto,prestador_id,prestador_odonto,N:1,0
prestador_odonto,clinica_id,clinicas,N:1,0
prestador_odonto,usuario_id,usuarios,N:1,0
procedimento,clinica_id,clinicas,N:1,0
