sequence,table,column,last_value,is_called
access_profile_id_seq,access_profile,id,130,True
agenda_legado_bloqueio_id_seq,agenda_legado_bloqueio,id,1,False
agenda_legado_evento_id_seq,agenda_legado_evento,id,55778,True
anamnese_perguntas_id_seq,anamnese_perguntas,id,479,True
anamnese_questionarios_id_seq,anamnese_questionarios,id,31,True
anamnese_respostas_id_seq,anamnese_respostas,id,3,True
assinaturas_id_seq,assinaturas,id,1,False
brana_schema_versions_id_seq,brana_schema_versions,id,1,False
calendario_faturamento_odonto_id_seq,calendario_faturamento_odonto,id,1,False
categoria_financeira_id_seq,categoria_financeira,id,1489,True
cenario_id_seq,cenario,id,4,True
clinicas_id_seq,clinicas,id,15,True
contato_id_seq,contato,id,107,True
controle_protetico_id_seq,controle_protetico,id,1,False
convenio_odonto_id_seq,convenio_odonto,id,110,True
doenca_cid_id_seq,doenca_cid,id,15638759,True
email_codes_id_seq,email_codes,id,37,True
etiqueta_modelo_id_seq,etiqueta_modelo,id,138,True
grupo_financeiro_id_seq,grupo_financeiro,id,225,True
indice_cotacao_id_seq,indice_cotacao,id,2,True
indice_financeiro_id_seq,indice_financeiro,id,45,True
item_auxiliar_id_seq,item_auxiliar,id,14037,True
lancamento_id_seq,lancamento,id,8393,True
lista_material_id_seq,lista_material,id,31,True
material_id_seq,material,id,6254,True
medicamento_id_seq,medicamento,id,136,True
modelos_documento_id_seq,modelos_documento,id,187,True
motivo_agendamento_id_seq,motivo_agendamento,id,28,True
odontograma_arcada_slots_id_seq,odontograma_arcada_slots,id,1,False
odontograma_dentes_id_seq,odontograma_dentes,id,1,False
odontograma_faces_id_seq,odontograma_faces,id,1,False
odontograma_intervencao_status_id_seq,odontograma_intervencao_status,id,6,True
odontograma_intervencoes_id_seq,odontograma_intervencoes,id,1,False
pacientes_id_seq,pacientes,id,1629,True
plano_odonto_id_seq,plano_odonto,id,110,True
planos_id_seq,planos,id,1,False
plataforma_assinaturas_id_seq,plataforma_assinaturas,id,15,True
plataforma_auditoria_id_seq,plataforma_auditoria,id,48,True
plataforma_cobrancas_id_seq,plataforma_cobrancas,id,1,False
prestador_comissao_id_seq,prestador_comissao,id,1,False
prestador_comissao_odonto_id_seq,prestador_comissao_odonto,id,1,False
prestador_credenciamento_id_seq,prestador_credenciamento,id,1,False
prestador_credenciamento_odonto_id_seq,prestador_credenciamento_odonto,id,1,False
prestador_id_seq,prestador,id,1,False
prestador_odonto_id_seq,prestador_odonto,id,24,True
procedimento_fase_id_seq,procedimento_fase,id,5,True
procedimento_generico_fase_id_seq,procedimento_generico_fase,id,8,True
procedimento_generico_id_seq,procedimento_generico,id,4781,True
procedimento_generico_material_id_seq,procedimento_generico_material,id,3557,True
procedimento_id_seq,procedimento,id,66929,True
procedimento_material_id_seq,procedimento_material,id,130709,True
procedimento_tabela_id_seq,procedimento_tabela,id,97,True
protetico_id_seq,protetico,id,28,True
quadro_avisos_id_seq,quadro_avisos,id,1,False
relatorio_config_id_seq,relatorio_config,id,1,False
restricao_terapeutica_id_seq,restricao_terapeutica,id,1,False
servico_protetico_id_seq,servico_protetico,id,252,True
simbolo_grafico_catalogo_id_seq,simbolo_grafico_catalogo,id,1261,True
tratamento_id_seq,tratamento,id,2,True
unidade_atendimento_id_seq,unidade_atendimento,id,13,True
usuario_perfil_acesso_id_seq,usuario_perfil_acesso,id,1,False
usuarios_id_seq,usuarios,id,37,True
