tabela,linhas,pk,id_min,id_max,sequence,seq_last_value,max_id_real,nulls_fk_importantes,por_clinica,ultima_data,hash_columns,path_columns
access_profile,20,id,101,130,public.access_profile_id_seq,130,130,"{""clinica_id"": 0}",13:10;15:10,2026-05-28 06:25:00.995185-03:00,,
agenda_legado_bloqueio,0,id,,,public.agenda_legado_bloqueio_id_seq,1,,"{""clinica_id"": 0}",,,,
agenda_legado_evento,14044,id,41733,55777,public.agenda_legado_evento_id_seq,55778,55777,"{""clinica_id"": 0}",1:14044,,,
anamnese_perguntas,229,id,18,479,public.anamnese_perguntas_id_seq,479,479,"{""clinica_id"": 0}",1:130;4:17;13:41;15:41,2026-05-28 06:25:00.995185-03:00,,
anamnese_questionarios,12,id,2,31,public.anamnese_questionarios_id_seq,31,31,"{""clinica_id"": 0}",1:5;4:1;13:3;15:3,2026-05-28 06:25:00.995185-03:00,,
anamnese_respostas,2,id,1,3,public.anamnese_respostas_id_seq,3,3,"{""clinica_id"": 0, ""paciente_id"": 0}",1:1;4:1,2026-06-02 19:38:51.573615-03:00,,
assinaturas,0,id,,,public.assinaturas_id_seq,1,,"{""clinica_id"": 0}",,,,
brana_schema_versions,0,id,,,public.brana_schema_versions_id_seq,1,,{},,,,
calendario_faturamento_odonto,0,id,,,public.calendario_faturamento_odonto_id_seq,1,,"{""clinica_id"": 0}",,,,
categoria_financeira,355,id,259,1489,public.categoria_financeira_id_seq,1489,1489,"{""clinica_id"": 0}",1:84;4:99;13:86;15:86,,,
cenario,2,id,2,4,public.cenario_id_seq,4,4,"{""clinica_id"": 0}",1:1;4:1,,,
clinicas,4,id,1,15,public.clinicas_id_seq,15,15,{},,2026-05-28 06:25:00.995185-03:00,,
contato,107,id,1,107,public.contato_id_seq,107,107,"{""clinica_id"": 0}",1:107,,,
controle_protetico,0,id,,,public.controle_protetico_id_seq,1,,"{""clinica_id"": 0, ""paciente_id"": 0}",,,,
convenio_odonto,40,id,1,110,public.convenio_odonto_id_seq,110,110,"{""clinica_id"": 0}",1:10;4:10;13:10;15:10,2026-05-28 06:25:00.995185-03:00,,
