status,nivel_confianca,id_brana,codigo_brana_atual,nome_brana_atual,nroproctab_easy,codconv_easy,nome_easy,metodo_match,divergencias,justificativa
revisar,M?DIA,40558,6010,Alveoloplastica ou alveolotomia - (por sextante),2,6010,Alveoloplastica ou alveolotomia - (por sextante),nome_exato + CODCONV,['codigo_nro'],nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
revisar,M?DIA,40561,6040,Cirurgia para Cisto de Desenvolvimento,5,6040,Cirurgia para Cisto de Desenvolvimento,nome_exato + CODCONV,['codigo_nro'],nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
revisar,M?DIA,40562,6050,Cirurgia para Microstomia,6,6050,Cirurgia para Microstomia,nome_exato + CODCONV,['codigo_nro'],nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
revisar,M?DIA,40563,6060,Cirurgia para Osteoma e Odontoma,7,6060,Cirurgia para Osteoma e Odontoma,nome_exato + CODCONV,['codigo_nro'],nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
revisar,M?DIA,40564,6070,Cirurgia para torus palatino unilateral,8,6070,Cirurgia para torus palatino unilateral,nome_exato + CODCONV,['codigo_nro'],nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
revisar,M?DIA,40565,6080,Ciurgia para torus mandibular bilateral,9,6080,Ciurgia para torus mandibular bilateral,nome_exato + CODCONV,['codigo_nro'],nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
revisar,M?DIA,40567,6100,Cirurgia para torus palatino bilateral,11,6100,Cirurgia para torus palatino bilateral,nome_exato + CODCONV,['codigo_nro'],nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
revisar,M?DIA,40569,6120,Drenagem de abcesso por via intra ou extra-oral,13,6120,Drenagem de abcesso por via intra ou extra-oral,nome_exato + CODCONV,['codigo_nro'],nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
revisar,M?DIA,40578,6210,Exodontia de incluso,22,6210,Exodontia de incluso,nome_exato + CODCONV,['codigo_nro'],nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
revisar,M?DIA,40579,6220,Exodontia de incluso impactado,23,6220,Exodontia de incluso impactado,nome_exato + CODCONV,['codigo_nro'],nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
revisar,M?DIA,40580,6230,Exodontia de raiz residual,24,6230,Exodontia de raiz residual,nome_exato + CODCONV,['codigo_nro'],nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
revisar,M?DIA,40581,6240,Exodontia de raiz residual com retalho,25,6240,Exodontia de raiz residual com retalho,nome_exato + CODCONV,['codigo_nro'],nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
revisar,M?DIA,40582,6250,Exodontia de semi-incluso,26,6250,Exodontia de semi-incluso,nome_exato + CODCONV,['codigo_nro'],nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
revisar,M?DIA,40583,6260,Exodontia + Enxerto + membrana,27,6260,Exodontia + Enxerto + membrana,nome_exato + CODCONV,['codigo_nro'],nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
revisar,M?DIA,40584,6270,Exodontia simples - (Anteriores),28,6270,Exodontia simples - (Anteriores),nome_exato + CODCONV,['codigo_nro'],nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
revisar,M?DIA,40585,6280,Exodontia simples - (Posteriores),29,6280,Exodontia simples - (Posteriores),nome_exato + CODCONV,['codigo_nro'],nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
revisar,M?DIA,40592,6350,Tratamento de alveolite,36,6350,Tratamento de alveolite,nome_exato + CODCONV,['codigo_nro'],nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
