acao_futura_bloqueada,campos_atuais,campos_preservados,campos_propostos,codconv_easy,codigo_brana_atual,divergencias,id_brana,justificativa,metodo_match,nivel_confianca,nome_brana_atual,nome_easy,nroproctab_easy,status
apply,"{'codigo': 223, 'especialidade': '07', 'nome': 'Aparelho Autoligado (Arcada Inferior)', 'preco': 0.0, 'simbolo_grafico_legacy_id': 22}","['id', 'tabela_id', 'codigo', 'procedimento_generico_id', 'materiais_vinculados', 'fases_vinculadas', 'historicos', 'chaves_estrangeiras']",{'nome': 'Aparelho Autoligado (Arcada Inferior)'},,223,[],40778,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV,nome_exato + NROPROCTAB,ALTA,Aparelho Autoligado (Arcada Inferior),Aparelho Autoligado (Arcada Inferior),223,apto
apply,"{'codigo': 224, 'especialidade': '07', 'nome': 'Aparelho Autoligado (Arcada Superior)', 'preco': 0.0, 'simbolo_grafico_legacy_id': 22}","['id', 'tabela_id', 'codigo', 'procedimento_generico_id', 'materiais_vinculados', 'fases_vinculadas', 'historicos', 'chaves_estrangeiras']",{'nome': 'Aparelho Autoligado (Arcada Superior)'},,224,[],40779,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV,nome_exato + NROPROCTAB,ALTA,Aparelho Autoligado (Arcada Superior),Aparelho Autoligado (Arcada Superior),224,apto
apply,"{'codigo': 226, 'especialidade': '07', 'nome': 'Aparelho em uma arcada conjugado c/ ap. auxiliar', 'preco': 0.0, 'simbolo_grafico_legacy_id': 22}","['id', 'tabela_id', 'codigo', 'procedimento_generico_id', 'materiais_vinculados', 'fases_vinculadas', 'historicos', 'chaves_estrangeiras']",{'nome': 'Aparelho em uma arcada conjugado c/ ap. auxiliar'},,226,[],40781,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV,nome_exato + NROPROCTAB,ALTA,Aparelho em uma arcada conjugado c/ ap. auxiliar,Aparelho em uma arcada conjugado c/ ap. auxiliar,226,apto
apply,"{'codigo': 227, 'especialidade': '07', 'nome': 'Aparelho extra bucal', 'preco': 0.0, 'simbolo_grafico_legacy_id': 37}","['id', 'tabela_id', 'codigo', 'procedimento_generico_id', 'materiais_vinculados', 'fases_vinculadas', 'historicos', 'chaves_estrangeiras']",{'nome': 'Aparelho extra bucal'},,227,[],40782,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV,nome_exato + NROPROCTAB,ALTA,Aparelho extra bucal,Aparelho extra bucal,227,apto
apply,"{'codigo': 234, 'especialidade': '07', 'nome': 'Aparelho Ortopedico', 'preco': 0.0, 'simbolo_grafico_legacy_id': 22}","['id', 'tabela_id', 'codigo', 'procedimento_generico_id', 'materiais_vinculados', 'fases_vinculadas', 'historicos', 'chaves_estrangeiras']",{'nome': 'Aparelho Ortopedico'},,234,[],40789,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV,nome_exato + NROPROCTAB,ALTA,Aparelho Ortopedico,Aparelho Ortopedico,234,apto
apply,"{'codigo': 235, 'especialidade': '07', 'nome': 'Aparelho removivel', 'preco': 0.0, 'simbolo_grafico_legacy_id': 37}","['id', 'tabela_id', 'codigo', 'procedimento_generico_id', 'materiais_vinculados', 'fases_vinculadas', 'historicos', 'chaves_estrangeiras']",{'nome': 'Aparelho removivel'},,235,[],40790,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV,nome_exato + NROPROCTAB,ALTA,Aparelho removivel,Aparelho removivel,235,apto
apply,"{'codigo': 236, 'especialidade': '07', 'nome': 'Aparelhos auxiliares (extra-oral, ""Bumper"", etc)', 'preco': 0.0, 'simbolo_grafico_legacy_id': 37}","['id', 'tabela_id', 'codigo', 'procedimento_generico_id', 'materiais_vinculados', 'fases_vinculadas', 'historicos', 'chaves_estrangeiras']","{'nome': 'Aparelhos auxiliares (extra-oral, ""Bumper"", etc)'}",,236,[],40791,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV,nome_exato + NROPROCTAB,ALTA,"Aparelhos auxiliares (extra-oral, ""Bumper"", etc)","Aparelhos auxiliares (extra-oral, ""Bumper"", etc)",236,apto
apply,"{'codigo': 237, 'especialidade': '07', 'nome': 'Arco Palatino', 'preco': 0.0, 'simbolo_grafico_legacy_id': 37}","['id', 'tabela_id', 'codigo', 'procedimento_generico_id', 'materiais_vinculados', 'fases_vinculadas', 'historicos', 'chaves_estrangeiras']",{'nome': 'Arco Palatino'},,237,[],40792,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV,nome_exato + NROPROCTAB,ALTA,Arco Palatino,Arco Palatino,237,apto
apply,"{'codigo': 238, 'especialidade': '07', 'nome': 'Ativador de Haulp', 'preco': 0.0, 'simbolo_grafico_legacy_id': 22}","['id', 'tabela_id', 'codigo', 'procedimento_generico_id', 'materiais_vinculados', 'fases_vinculadas', 'historicos', 'chaves_estrangeiras']",{'nome': 'Ativador de Haulp'},,238,[],40793,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV,nome_exato + NROPROCTAB,ALTA,Ativador de Haulp,Ativador de Haulp,238,apto
apply,"{'codigo': 239, 'especialidade': '07', 'nome': 'Ativador de Rossi', 'preco': 0.0, 'simbolo_grafico_legacy_id': 22}","['id', 'tabela_id', 'codigo', 'procedimento_generico_id', 'materiais_vinculados', 'fases_vinculadas', 'historicos', 'chaves_estrangeiras']",{'nome': 'Ativador de Rossi'},,239,[],40794,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV,nome_exato + NROPROCTAB,ALTA,Ativador de Rossi,Ativador de Rossi,239,apto
