procedimento_id,clinica_id,tabela_id,tabela_codigo,tabela_nome,codigo,nome_atual,nome_origem,categoria,chave_origem,caracteres_suspeitos,motivo,diferente
51867,1,47,5,CAIXA ECONOMICA FEDERAL,5001,Consulta,Consulta,A,5:5001,,texto atual coincide com a fonte,False
51868,1,47,5,CAIXA ECONOMICA FEDERAL,5002,Controle de placa bacteriana,Controle de placa bacteriana,A,5:5002,,texto atual coincide com a fonte,False
51869,1,47,5,CAIXA ECONOMICA FEDERAL,5003,Falta,Falta,A,5:5003,,texto atual coincide com a fonte,False
51870,1,47,5,CAIXA ECONOMICA FEDERAL,5004,Modelos de estudo,Modelos de estudo,A,5:5004,,texto atual coincide com a fonte,False
51871,1,47,5,CAIXA ECONOMICA FEDERAL,5005,Perícia,Perícia,A,5:5005,,texto atual coincide com a fonte,False
51872,1,47,5,CAIXA ECONOMICA FEDERAL,5006,Profilaxia,Profilaxia,A,5:5006,,texto atual coincide com a fonte,False
51873,1,47,5,CAIXA ECONOMICA FEDERAL,5007,Urgência,Urgência,A,5:5007,,texto atual coincide com a fonte,False
51874,1,47,5,CAIXA ECONOMICA FEDERAL,5008,Alveoloplastia,Alveoloplastia,A,5:5008,,texto atual coincide com a fonte,False
51875,1,47,5,CAIXA ECONOMICA FEDERAL,5009,Biópsia incisional,Biópsia incisional,A,5:5009,,texto atual coincide com a fonte,False
51876,1,47,5,CAIXA ECONOMICA FEDERAL,5010,Crurgia de tumores intra-ósseos,Crurgia de tumores intra-ósseos,A,5:5010,,texto atual coincide com a fonte,False
51877,1,47,5,CAIXA ECONOMICA FEDERAL,5011,Correção de bridas musculares,Correção de bridas musculares,A,5:5011,,texto atual coincide com a fonte,False
51878,1,47,5,CAIXA ECONOMICA FEDERAL,5012,Drenagem extra-oral de abscesso,Drenagem extra-oral de abscesso,A,5:5012,,texto atual coincide com a fonte,False
51879,1,47,5,CAIXA ECONOMICA FEDERAL,5013,Excisão de lesão da mucosa oral,Excisão de lesão da mucosa oral,A,5:5013,,texto atual coincide com a fonte,False
51880,1,47,5,CAIXA ECONOMICA FEDERAL,5014,Exodontia,Exodontia,A,5:5014,,texto atual coincide com a fonte,False
51881,1,47,5,CAIXA ECONOMICA FEDERAL,5015,Exodontia - via não alveolar,Exodontia - via não alveolar,A,5:5015,,texto atual coincide com a fonte,False
51882,1,47,5,CAIXA ECONOMICA FEDERAL,5016,Frenectomia lingual,Frenectomia lingual,A,5:5016,,texto atual coincide com a fonte,False
51883,1,47,5,CAIXA ECONOMICA FEDERAL,5017,Frenectomia labial,Frenectomia labial,A,5:5017,,texto atual coincide com a fonte,False
51884,1,47,5,CAIXA ECONOMICA FEDERAL,5018,Laçamento de dentes inclusos para ortodontia,Laçamento de dentes inclusos para ortodontia,A,5:5018,,texto atual coincide com a fonte,False
51885,1,47,5,CAIXA ECONOMICA FEDERAL,5019,Redução de tuberosidade maxilar,Redução de tuberosidade maxilar,A,5:5019,,texto atual coincide com a fonte,False
