procedimento_id,codigo,nome_atual_bruto,caracteres_suspeitos,reparo_diagnostico,nome_canonico_sql,nome_canonico_csv,nroproctab,codconv,metodo_correspondencia,nivel_confianca,motivo,acao
40557,6000,Alveoloplastia ou alveolotomia - (at 3 elementos),,Alveoloplastia ou alveolotomia - (até 3 elementos),Alveoloplastia ou alveolotomia - (até 3 elementos),Alveoloplastia ou alveolotomia - (até 3 elementos),1,6000,aproximacao_textual,medio,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40558,6010,Alveoloplastica ou alveolotomia - (por sextante),,,Alveoloplastica ou alveolotomia - (por sextante),Alveoloplastica ou alveolotomia - (por sextante),2,6010,identico,baixo,nome atual ja coincide com a fonte canonica,MANTER
40559,6020,Bi¢psia,,Biópsia,Biópsia,Biópsia,3,6020,aproximacao_textual,medio,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40560,6030,Cirurgia de Hipertrofia de L bio,,Cirurgia de Hipertrofia de Lábio,Cirurgia de Hipertrofia de Lábio,Cirurgia de Hipertrofia de Lábio,4,6030,aproximacao_textual,medio,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40561,6040,Cirurgia para Cisto de Desenvolvimento,,,Cirurgia para Cisto de Desenvolvimento,Cirurgia para Cisto de Desenvolvimento,5,6040,identico,baixo,nome atual ja coincide com a fonte canonica,MANTER
40562,6050,Cirurgia para Microstomia,,,Cirurgia para Microstomia,Cirurgia para Microstomia,6,6050,identico,baixo,nome atual ja coincide com a fonte canonica,MANTER
40563,6060,Cirurgia para Osteoma e Odontoma,,,Cirurgia para Osteoma e Odontoma,Cirurgia para Osteoma e Odontoma,7,6060,identico,baixo,nome atual ja coincide com a fonte canonica,MANTER
40564,6070,Cirurgia para torus palatino unilateral,,,Cirurgia para torus palatino unilateral,Cirurgia para torus palatino unilateral,8,6070,identico,baixo,nome atual ja coincide com a fonte canonica,MANTER
40565,6080,Ciurgia para torus mandibular bilateral,,,Ciurgia para torus mandibular bilateral,Ciurgia para torus mandibular bilateral,9,6080,identico,baixo,nome atual ja coincide com a fonte canonica,MANTER
40566,6090,Ciurgia para t¢rus mandibular unilateral,,Ciurgia para tórus mandibular unilateral,Ciurgia para tórus mandibular unilateral,Ciurgia para tórus mandibular unilateral,10,6090,aproximacao_textual,medio,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40567,6100,Cirurgia para torus palatino bilateral,,,Cirurgia para torus palatino bilateral,Cirurgia para torus palatino bilateral,11,6100,identico,baixo,nome atual ja coincide com a fonte canonica,MANTER
40568,6110,CorreÆo de bridas musculares,,Correção de bridas musculares,Correção de bridas musculares,Correção de bridas musculares,12,6110,aproximacao_textual,medio,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40569,6120,Drenagem de abcesso por via intra ou extra-oral,,,Drenagem de abcesso por via intra ou extra-oral,Drenagem de abcesso por via intra ou extra-oral,13,6120,identico,baixo,nome atual ja coincide com a fonte canonica,MANTER
40570,6130,Cirurgia explorat¢ria,,Cirurgia exploratória,Cirurgia exploratória,Cirurgia exploratória,14,6130,aproximacao_textual,medio,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40571,6140,ExcisÆo de glndula par¢tida,,Excisão de glândula parótida,Excisão de glândula parótida,Excisão de glândula parótida,15,6140,aproximacao_textual,medio,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40572,6150,ExcisÆo de glndula sublingual,,Excisão de glândula sublingual,Excisão de glândula sublingual,Excisão de glândula sublingual,16,6150,aproximacao_textual,medio,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40573,6160,ExcisÆo de glndula submandibular,,Excisão de glândula submandibular,Excisão de glândula submandibular,Excisão de glândula submandibular,17,6160,aproximacao_textual,medio,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40574,6170,ExcisÆo de Mucocele,,Excisão de Mucocele,Excisão de Mucocele,Excisão de Mucocele,18,6170,aproximacao_textual,medio,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40575,6180,ExcisÆo de rnula,,Excisão de rânula,Excisão de rânula,Excisão de rânula,19,6180,aproximacao_textual,medio,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40576,6190,ExcisÆo de tumores odontognicos at 3 cm,,Excisão de tumores odontogênicos até 3 cm,Excisão de tumores odontogênicos até 3 cm,Excisão de tumores odontogênicos até 3 cm,20,6190,aproximacao_textual,medio,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
