easy_nroproctab,easy_codconv,easy_descricao,brana_id_candidato,brana_codigo_candidato,brana_nome_candidato,metodo_correspondencia,nivel_confianca,divergencias,ambiguidade,acao_futura_permitida,acao_futura_bloqueada,justificativa
1,6000,Alveoloplastia ou alveolotomia - (até 3 elementos),,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
2,6010,Alveoloplastica ou alveolotomia - (por sextante),40558,6010,Alveoloplastica ou alveolotomia - (por sextante),nome_exato + CODCONV,comprovada,['codigo_nro'],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
3,6020,Biópsia,,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
4,6030,Cirurgia de Hipertrofia de Lábio,,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
5,6040,Cirurgia para Cisto de Desenvolvimento,40561,6040,Cirurgia para Cisto de Desenvolvimento,nome_exato + CODCONV,comprovada,['codigo_nro'],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
6,6050,Cirurgia para Microstomia,40562,6050,Cirurgia para Microstomia,nome_exato + CODCONV,comprovada,['codigo_nro'],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
7,6060,Cirurgia para Osteoma e Odontoma,40563,6060,Cirurgia para Osteoma e Odontoma,nome_exato + CODCONV,comprovada,['codigo_nro'],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
8,6070,Cirurgia para torus palatino unilateral,40564,6070,Cirurgia para torus palatino unilateral,nome_exato + CODCONV,comprovada,['codigo_nro'],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
9,6080,Ciurgia para torus mandibular bilateral,40565,6080,Ciurgia para torus mandibular bilateral,nome_exato + CODCONV,comprovada,['codigo_nro'],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
10,6090,Ciurgia para tórus mandibular unilateral,,,,sem_correspondencia,sem_correspondencia,['sem_candidato'],False,avaliar inclusao,apply,nenhum candidato semantico confiavel encontrado
11,6100,Cirurgia para torus palatino bilateral,40567,6100,Cirurgia para torus palatino bilateral,nome_exato + CODCONV,comprovada,['codigo_nro'],False,revisar,apply,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV
