linha_csv,codigo_csv,nome_csv,especialidade_csv,preco_csv,nroproctab_sql,codconv_sql,descricao_sql,especialidade_sql,preco_sql,codigo_brana,nome_brana,especialidade_brana,preco_brana,codigo_significado,classe_csv_sql,classe_csv_brana,nivel_confian?a_anterior,nivel_confian?a_final,justificativa
1,,Disjuntor Omar Gabriel,Ortodontia,"0,00",267,,Disjuntor Omar Gabriel,7,0.0,267,Disjuntor Omar Gabriel,07,0.0,vazio,C,A,M?DIA,MANTIDO_MEDIA,codigo_csv vazio para 97 linhas; quando preenchido coincide com CODCONV do SQL operacional
2,,Blinler - C,Ortodontia,"0,00",254,,Blinler - C,7,0.0,254,Blinler - C,07,0.0,vazio,C,A,M?DIA,MANTIDO_MEDIA,codigo_csv vazio para 97 linhas; quando preenchido coincide com CODCONV do SQL operacional
3,,Botão de Nance,Ortodontia,"0,00",255,,Botão de Nance,7,0.0,,,,,vazio,C,D,BLOQUEADA,CONTINUA_BLOQUEADO,codigo_csv vazio para 97 linhas; quando preenchido coincide com CODCONV do SQL operacional
4,,"Bracket (Bracket 0,18"" x 0,25"")",Ortodontia,"0,00",256,,"Bracket (Bracket 0,18"" x 0,25"")",7,0.0,256,"Bracket (Bracket 0,18"" x 0,25"")",07,0.0,vazio,C,A,M?DIA,MANTIDO_MEDIA,codigo_csv vazio para 97 linhas; quando preenchido coincide com CODCONV do SQL operacional
5,,"Bracket (Bracket 0,18"" x 0,30"")",Ortodontia,"0,00",257,,"Bracket (Bracket 0,18"" x 0,30"")",7,0.0,257,"Bracket (Bracket 0,18"" x 0,30"")",07,0.0,vazio,C,A,M?DIA,MANTIDO_MEDIA,codigo_csv vazio para 97 linhas; quando preenchido coincide com CODCONV do SQL operacional
6,,"Bracket (Bracket 0,22"" x 0,28"")",Ortodontia,"0,00",258,,"Bracket (Bracket 0,22"" x 0,28"")",7,0.0,258,"Bracket (Bracket 0,22"" x 0,28"")",07,0.0,vazio,C,A,M?DIA,MANTIDO_MEDIA,codigo_csv vazio para 97 linhas; quando preenchido coincide com CODCONV do SQL operacional
7,,Bracket (Bracket Straight-Wire),Ortodontia,"0,00",259,,Bracket (Bracket Straight-Wire),7,0.0,259,Bracket (Bracket Straight-Wire),07,0.0,vazio,C,A,M?DIA,MANTIDO_MEDIA,codigo_csv vazio para 97 linhas; quando preenchido coincide com CODCONV do SQL operacional
8,,Contenção Fixa Lingual,Ortodontia,"0,00",260,,Contenção Fixa Lingual,7,0.0,,,,,vazio,C,D,BLOQUEADA,CONTINUA_BLOQUEADO,codigo_csv vazio para 97 linhas; quando preenchido coincide com CODCONV do SQL operacional
9,,Contenção móvel - (Placa de acetáto),Ortodontia,"200,00",261,,Contenção móvel - (Placa de acetáto),7,200.0,,,,,vazio,C,D,BLOQUEADA,CONTINUA_BLOQUEADO,codigo_csv vazio para 97 linhas; quando preenchido coincide com CODCONV do SQL operacional
10,,Disjuntor de Hass,Ortodontia,"0,00",262,,Disjuntor de Hass,7,0.0,262,Disjuntor de Hass,07,0.0,vazio,C,A,M?DIA,MANTIDO_MEDIA,codigo_csv vazio para 97 linhas; quando preenchido coincide com CODCONV do SQL operacional
