id_brana,codigo_brana,nome_brana,nroproctab,codconv,descricao_easy,nome_normalizado,especialidade_easy,especialidade_brana,simbolo_easy,simbolo_brana,preco_easy,preco_brana,forma_cobranca_easy,forma_cobranca_brana,status_easy,status_brana,observacoes,risco,classificacao_anterior,classificacao_final,acao_futura_permitida,acao_futura_bloqueada
40558,6010,Alveoloplastica ou alveolotomia - (por sextante),2,6010,Alveoloplastica ou alveolotomia - (por sextante),alveoloplastica ou alveolotomia - (por sextante),06,06,57,57,,0.0,,,ativo,ativo,,baixo,M?DIA,MANTIDO_MEDIA,revisar,apply
40561,6040,Cirurgia para Cisto de Desenvolvimento,5,6040,Cirurgia para Cisto de Desenvolvimento,cirurgia para cisto de desenvolvimento,06,06,45,45,,0.0,,,ativo,ativo,,baixo,M?DIA,MANTIDO_MEDIA,revisar,apply
40562,6050,Cirurgia para Microstomia,6,6050,Cirurgia para Microstomia,cirurgia para microstomia,06,06,45,45,,0.0,,,ativo,ativo,,baixo,M?DIA,MANTIDO_MEDIA,revisar,apply
40563,6060,Cirurgia para Osteoma e Odontoma,7,6060,Cirurgia para Osteoma e Odontoma,cirurgia para osteoma e odontoma,06,06,45,45,,0.0,,,ativo,ativo,,baixo,M?DIA,MANTIDO_MEDIA,revisar,apply
40564,6070,Cirurgia para torus palatino unilateral,8,6070,Cirurgia para torus palatino unilateral,cirurgia para torus palatino unilateral,06,06,45,45,,0.0,,,ativo,ativo,,baixo,M?DIA,MANTIDO_MEDIA,revisar,apply
40565,6080,Ciurgia para torus mandibular bilateral,9,6080,Ciurgia para torus mandibular bilateral,ciurgia para torus mandibular bilateral,06,06,45,45,,0.0,,,ativo,ativo,,baixo,M?DIA,MANTIDO_MEDIA,revisar,apply
40567,6100,Cirurgia para torus palatino bilateral,11,6100,Cirurgia para torus palatino bilateral,cirurgia para torus palatino bilateral,06,06,45,45,,0.0,,,ativo,ativo,,baixo,M?DIA,MANTIDO_MEDIA,revisar,apply
40569,6120,Drenagem de abcesso por via intra ou extra-oral,13,6120,Drenagem de abcesso por via intra ou extra-oral,drenagem de abcesso por via intra ou extra-oral,06,06,45,45,,0.0,,,ativo,ativo,,baixo,M?DIA,MANTIDO_MEDIA,revisar,apply
40578,6210,Exodontia de incluso,22,6210,Exodontia de incluso,exodontia de incluso,,,13,13,,0.0,,,ativo,ativo,,baixo,M?DIA,MANTIDO_MEDIA,revisar,apply
40579,6220,Exodontia de incluso impactado,23,6220,Exodontia de incluso impactado,exodontia de incluso impactado,,,13,13,,0.0,,,ativo,ativo,,baixo,M?DIA,MANTIDO_MEDIA,revisar,apply
40580,6230,Exodontia de raiz residual,24,6230,Exodontia de raiz residual,exodontia de raiz residual,06,06,13,13,,0.0,,,ativo,ativo,,baixo,M?DIA,MANTIDO_MEDIA,revisar,apply
40581,6240,Exodontia de raiz residual com retalho,25,6240,Exodontia de raiz residual com retalho,exodontia de raiz residual com retalho,,,13,13,,0.0,,,ativo,ativo,,baixo,M?DIA,MANTIDO_MEDIA,revisar,apply
40582,6250,Exodontia de semi-incluso,26,6250,Exodontia de semi-incluso,exodontia de semi-incluso,,,13,13,,0.0,,,ativo,ativo,,baixo,M?DIA,MANTIDO_MEDIA,revisar,apply
40583,6260,Exodontia + Enxerto + membrana,27,6260,Exodontia + Enxerto + membrana,exodontia + enxerto + membrana,06,06,13,13,,0.0,,,ativo,ativo,,baixo,M?DIA,MANTIDO_MEDIA,revisar,apply
40584,6270,Exodontia simples - (Anteriores),28,6270,Exodontia simples - (Anteriores),exodontia simples - (anteriores),06,06,13,13,,0.0,,,ativo,ativo,,baixo,M?DIA,MANTIDO_MEDIA,revisar,apply
40585,6280,Exodontia simples - (Posteriores),29,6280,Exodontia simples - (Posteriores),exodontia simples - (posteriores),06,06,13,13,,0.0,,,ativo,ativo,,baixo,M?DIA,MANTIDO_MEDIA,revisar,apply
40592,6350,Tratamento de alveolite,36,6350,Tratamento de alveolite,tratamento de alveolite,06,06,57,57,,0.0,,,ativo,ativo,,baixo,M?DIA,MANTIDO_MEDIA,revisar,apply
40593,6360,Tratamento de hemorragia,37,6360,Tratamento de hemorragia,tratamento de hemorragia,06,06,45,45,,0.0,,,ativo,ativo,,baixo,M?DIA,MANTIDO_MEDIA,revisar,apply
