tipo,nroproctab,codconv,nome,especialidade,simbolo,preco,candidatos_brana_por_nome,candidatos_brana_por_codigo,candidatos_por_similaridade,posicao_relativa,motivo_bloqueio,id,codigo,candidatos_easy_dental
easy,1,6000,Alveoloplastia ou alveolotomia - (até 3 elementos),,,,[],[],"[{'id': 40557, 'codigo': 6000, 'nome': 'Alveoloplastia ou alveolotomia - (at\x82 3 elementos)', 'score': 0.9783}, {'id': 40558, 'codigo': 6010, 'nome': 'Alveoloplastica ou alveolotomia - (por sextante)', 'score': 0.7556}, {'id': 40702, 'codigo': 3280, 'nome': 'Gengivectomia ou Gengivoplastia - (por elemento)', 'score': 0.4889}]",,sem_candidato_semantico_confiavel,,,
easy,3,6020,Biópsia,,,,[],[],"[{'id': 40559, 'codigo': 6020, 'nome': 'Bi¢psia', 'score': 0.8571}, {'id': 40682, 'codigo': 3080, 'nome': 'Bridectomia', 'score': 0.4444}, {'id': 40885, 'codigo': 9050, 'nome': 'Bichectomia', 'score': 0.4444}]",,sem_candidato_semantico_confiavel,,,
easy,4,6030,Cirurgia de Hipertrofia de Lábio,,,,[],[],"[{'id': 40560, 'codigo': 6030, 'nome': 'Cirurgia de Hipertrofia de L bio', 'score': 0.9688}, {'id': 40570, 'codigo': 6130, 'nome': 'Cirurgia explorat¢ria', 'score': 0.6038}, {'id': 40561, 'codigo': 6040, 'nome': 'Cirurgia para Cisto de Desenvolvimento', 'score': 0.5714}]",,sem_candidato_semantico_confiavel,,,
easy,10,6090,Ciurgia para tórus mandibular unilateral,,,,[],[],"[{'id': 40566, 'codigo': 6090, 'nome': 'Ciurgia para t¢rus mandibular unilateral', 'score': 0.975}, {'id': 40565, 'codigo': 6080, 'nome': 'Ciurgia para torus mandibular bilateral', 'score': 0.9367}, {'id': 40564, 'codigo': 6070, 'nome': 'Cirurgia para torus palatino unilateral', 'score': 0.8101}]",,sem_candidato_semantico_confiavel,,,
easy,12,6110,Correção de bridas musculares,,,,[],[],"[{'id': 40568, 'codigo': 6110, 'nome': 'Corre\x87Æo de bridas musculares', 'score': 0.931}, {'id': 40648, 'codigo': 4240, 'nome': 'Tratamento de Canal - (Molares)', 'score': 0.5357}, {'id': 40642, 'codigo': 4180, 'nome': 'Retratamento de Canal - (Molares)', 'score': 0.5172}]",,sem_candidato_semantico_confiavel,,,
easy,14,6130,Cirurgia exploratória,,,,[],[],"[{'id': 40570, 'codigo': 6130, 'nome': 'Cirurgia explorat¢ria', 'score': 0.9524}, {'id': 40686, 'codigo': 3120, 'nome': 'Cirurgia para Rizectomia', 'score': 0.6667}, {'id': 40562, 'codigo': 6050, 'nome': 'Cirurgia para Microstomia', 'score': 0.6522}]",,sem_candidato_semantico_confiavel,,,
easy,15,6140,Excisão de glândula parótida,,,,[],[],"[{'id': 40571, 'codigo': 6140, 'nome': 'ExcisÆo de gl\x83ndula par¢tida', 'score': 0.8929}, {'id': 40573, 'codigo': 6160, 'nome': 'ExcisÆo de gl\x83ndula submandibular', 'score': 0.6557}, {'id': 40572, 'codigo': 6150, 'nome': 'ExcisÆo de gl\x83ndula sublingual', 'score': 0.6552}]",,sem_candidato_semantico_confiavel,,,
easy,16,6150,Excisão de glândula sublingual,,,,[],[],"[{'id': 40572, 'codigo': 6150, 'nome': 'ExcisÆo de gl\x83ndula sublingual', 'score': 0.9333}, {'id': 40573, 'codigo': 6160, 'nome': 'ExcisÆo de gl\x83ndula submandibular', 'score': 0.7302}, {'id': 40571, 'codigo': 6140, 'nome': 'ExcisÆo de gl\x83ndula par¢tida', 'score': 0.6897}]",,sem_candidato_semantico_confiavel,,,
easy,17,6160,Excisão de glândula submandibular,,,,[],[],"[{'id': 40573, 'codigo': 6160, 'nome': 'ExcisÆo de gl\x83ndula submandibular', 'score': 0.9394}, {'id': 40572, 'codigo': 6150, 'nome': 'ExcisÆo de gl\x83ndula sublingual', 'score': 0.7302}, {'id': 40571, 'codigo': 6140, 'nome': 'ExcisÆo de gl\x83ndula par¢tida', 'score': 0.6557}]",,sem_candidato_semantico_confiavel,,,
easy,18,6170,Excisão de Mucocele,,,,[],[],"[{'id': 40574, 'codigo': 6170, 'nome': 'ExcisÆo de Mucocele', 'score': 0.9474}, {'id': 40575, 'codigo': 6180, 'nome': 'ExcisÆo de r\x83nula', 'score': 0.6667}, {'id': 40571, 'codigo': 6140, 'nome': 'ExcisÆo de gl\x83ndula par¢tida', 'score': 0.5106}]",,sem_candidato_semantico_confiavel,,,
easy,19,6180,Excisão de rânula,,,,[],[],"[{'id': 40575, 'codigo': 6180, 'nome': 'ExcisÆo de r\x83nula', 'score': 0.8824}, {'id': 40574, 'codigo': 6170, 'nome': 'ExcisÆo de Mucocele', 'score': 0.6667}, {'id': 40571, 'codigo': 6140, 'nome': 'ExcisÆo de gl\x83ndula par¢tida', 'score': 0.6222}]",,sem_candidato_semantico_confiavel,,,
easy,20,6190,Excisão de tumores odontogênicos até 3 cm,,,,[],[],"[{'id': 40576, 'codigo': 6190, 'nome': 'ExcisÆo de tumores odontog\x88nicos at\x82 3 cm', 'score': 0.9268}, {'id': 40574, 'codigo': 6170, 'nome': 'ExcisÆo de Mucocele', 'score': 0.4667}, {'id': 40891, 'codigo': 336, 'nome': 'Remo\x87Æo de aparelho ortodontico fixo.', 'score': 0.4416}]",,sem_candidato_semantico_confiavel,,,
easy,21,6200,Exodontia de decíduos,,,,[],[],"[{'id': 40577, 'codigo': 6200, 'nome': 'Exodontia de dec¡duos', 'score': 0.9524}, {'id': 40578, 'codigo': 6210, 'nome': 'Exodontia de incluso', 'score': 0.7805}, {'id': 40582, 'codigo': 6250, 'nome': 'Exodontia de semi-incluso', 'score': 0.7391}]",,sem_candidato_semantico_confiavel,,,
easy,30,6290,Fraturas alvédio-dentárias - redução cruenta,,,,[],[],"[{'id': 40586, 'codigo': 6290, 'nome': 'Fraturas alv\x82dio-dent rias - redu\x87Æo cruenta', 'score': 0.9048}, {'id': 40845, 'codigo': 290, 'nome': 'Placa com arco de conten\x87Æo cont¡nua', 'score': 0.4359}, {'id': 40674, 'codigo': 3000, 'nome': 'Abertura de implante - (Giro de retalho)', 'score': 0.4359}]",,sem_candidato_semantico_confiavel,,,
easy,31,6300,Marzupialização de cisto,,,,[],[],"[{'id': 40587, 'codigo': 6300, 'nome': 'Marzupializa\x87Æo de cisto', 'score': 0.9167}, {'id': 40712, 'codigo': 1000, 'nome': 'Aplica\x87Æo de Cariost tico - (sessÆo)', 'score': 0.5357}, {'id': 40604, 'codigo': 5090, 'nome': 'Imobiliza\x87Æo dent ria (esplintagem)', 'score': 0.4912}]",,sem_candidato_semantico_confiavel,,,
