tipo,nroproctab,codconv,nome,especialidade,simbolo,preco,candidatos_brana_por_nome,candidatos_brana_por_codigo,candidatos_por_similaridade,posicao_relativa,motivo_bloqueio,id,codigo,candidatos_easy_dental
easy,1,6000,Alveoloplastia ou alveolotomia - (até 3 elementos),,,,[],[],"[{'codigo': 6000, 'id': 40557, 'nome': 'Alveoloplastia ou alveolotomia - (at\x82 3 elementos)', 'score': 0.9783}, {'codigo': 6010, 'id': 40558, 'nome': 'Alveoloplastica ou alveolotomia - (por sextante)', 'score': 0.7556}, {'codigo': 3280, 'id': 40702, 'nome': 'Gengivectomia ou Gengivoplastia - (por elemento)', 'score': 0.4889}]",,sem_candidato_semantico_confiavel,,,
easy,3,6020,Biópsia,,,,[],[],"[{'codigo': 6020, 'id': 40559, 'nome': 'Bi¢psia', 'score': 0.8571}, {'codigo': 3080, 'id': 40682, 'nome': 'Bridectomia', 'score': 0.4444}, {'codigo': 9050, 'id': 40885, 'nome': 'Bichectomia', 'score': 0.4444}]",,sem_candidato_semantico_confiavel,,,
easy,4,6030,Cirurgia de Hipertrofia de Lábio,,,,[],[],"[{'codigo': 6030, 'id': 40560, 'nome': 'Cirurgia de Hipertrofia de L bio', 'score': 0.9688}, {'codigo': 6130, 'id': 40570, 'nome': 'Cirurgia explorat¢ria', 'score': 0.6038}, {'codigo': 6040, 'id': 40561, 'nome': 'Cirurgia para Cisto de Desenvolvimento', 'score': 0.5714}]",,sem_candidato_semantico_confiavel,,,
easy,10,6090,Ciurgia para tórus mandibular unilateral,,,,[],[],"[{'codigo': 6090, 'id': 40566, 'nome': 'Ciurgia para t¢rus mandibular unilateral', 'score': 0.975}, {'codigo': 6080, 'id': 40565, 'nome': 'Ciurgia para torus mandibular bilateral', 'score': 0.9367}, {'codigo': 6070, 'id': 40564, 'nome': 'Cirurgia para torus palatino unilateral', 'score': 0.8101}]",,sem_candidato_semantico_confiavel,,,
easy,12,6110,Correção de bridas musculares,,,,[],[],"[{'codigo': 6110, 'id': 40568, 'nome': 'Corre\x87Æo de bridas musculares', 'score': 0.931}, {'codigo': 4240, 'id': 40648, 'nome': 'Tratamento de Canal - (Molares)', 'score': 0.5357}, {'codigo': 4180, 'id': 40642, 'nome': 'Retratamento de Canal - (Molares)', 'score': 0.5172}]",,sem_candidato_semantico_confiavel,,,
easy,14,6130,Cirurgia exploratória,,,,[],[],"[{'codigo': 6130, 'id': 40570, 'nome': 'Cirurgia explorat¢ria', 'score': 0.9524}, {'codigo': 3120, 'id': 40686, 'nome': 'Cirurgia para Rizectomia', 'score': 0.6667}, {'codigo': 6050, 'id': 40562, 'nome': 'Cirurgia para Microstomia', 'score': 0.6522}]",,sem_candidato_semantico_confiavel,,,
easy,15,6140,Excisão de glândula parótida,,,,[],[],"[{'codigo': 6140, 'id': 40571, 'nome': 'ExcisÆo de gl\x83ndula par¢tida', 'score': 0.8929}, {'codigo': 6160, 'id': 40573, 'nome': 'ExcisÆo de gl\x83ndula submandibular', 'score': 0.6557}, {'codigo': 6150, 'id': 40572, 'nome': 'ExcisÆo de gl\x83ndula sublingual', 'score': 0.6552}]",,sem_candidato_semantico_confiavel,,,
easy,16,6150,Excisão de glândula sublingual,,,,[],[],"[{'codigo': 6150, 'id': 40572, 'nome': 'ExcisÆo de gl\x83ndula sublingual', 'score': 0.9333}, {'codigo': 6160, 'id': 40573, 'nome': 'ExcisÆo de gl\x83ndula submandibular', 'score': 0.7302}, {'codigo': 6140, 'id': 40571, 'nome': 'ExcisÆo de gl\x83ndula par¢tida', 'score': 0.6897}]",,sem_candidato_semantico_confiavel,,,
easy,17,6160,Excisão de glândula submandibular,,,,[],[],"[{'codigo': 6160, 'id': 40573, 'nome': 'ExcisÆo de gl\x83ndula submandibular', 'score': 0.9394}, {'codigo': 6150, 'id': 40572, 'nome': 'ExcisÆo de gl\x83ndula sublingual', 'score': 0.7302}, {'codigo': 6140, 'id': 40571, 'nome': 'ExcisÆo de gl\x83ndula par¢tida', 'score': 0.6557}]",,sem_candidato_semantico_confiavel,,,
easy,18,6170,Excisão de Mucocele,,,,[],[],"[{'codigo': 6170, 'id': 40574, 'nome': 'ExcisÆo de Mucocele', 'score': 0.9474}, {'codigo': 6180, 'id': 40575, 'nome': 'ExcisÆo de r\x83nula', 'score': 0.6667}, {'codigo': 6140, 'id': 40571, 'nome': 'ExcisÆo de gl\x83ndula par¢tida', 'score': 0.5106}]",,sem_candidato_semantico_confiavel,,,
easy,19,6180,Excisão de rânula,,,,[],[],"[{'codigo': 6180, 'id': 40575, 'nome': 'ExcisÆo de r\x83nula', 'score': 0.8824}, {'codigo': 6170, 'id': 40574, 'nome': 'ExcisÆo de Mucocele', 'score': 0.6667}, {'codigo': 6140, 'id': 40571, 'nome': 'ExcisÆo de gl\x83ndula par¢tida', 'score': 0.6222}]",,sem_candidato_semantico_confiavel,,,
easy,20,6190,Excisão de tumores odontogênicos até 3 cm,,,,[],[],"[{'codigo': 6190, 'id': 40576, 'nome': 'ExcisÆo de tumores odontog\x88nicos at\x82 3 cm', 'score': 0.9268}, {'codigo': 6170, 'id': 40574, 'nome': 'ExcisÆo de Mucocele', 'score': 0.4667}, {'codigo': 336, 'id': 40891, 'nome': 'Remo\x87Æo de aparelho ortodontico fixo.', 'score': 0.4416}]",,sem_candidato_semantico_confiavel,,,
easy,21,6200,Exodontia de decíduos,,,,[],[],"[{'codigo': 6200, 'id': 40577, 'nome': 'Exodontia de dec¡duos', 'score': 0.9524}, {'codigo': 6210, 'id': 40578, 'nome': 'Exodontia de incluso', 'score': 0.7805}, {'codigo': 6250, 'id': 40582, 'nome': 'Exodontia de semi-incluso', 'score': 0.7391}]",,sem_candidato_semantico_confiavel,,,
easy,30,6290,Fraturas alvédio-dentárias - redução cruenta,,,,[],[],"[{'codigo': 6290, 'id': 40586, 'nome': 'Fraturas alv\x82dio-dent rias - redu\x87Æo cruenta', 'score': 0.9048}, {'codigo': 290, 'id': 40845, 'nome': 'Placa com arco de conten\x87Æo cont¡nua', 'score': 0.4359}, {'codigo': 3000, 'id': 40674, 'nome': 'Abertura de implante - (Giro de retalho)', 'score': 0.4359}]",,sem_candidato_semantico_confiavel,,,
easy,31,6300,Marzupialização de cisto,,,,[],[],"[{'codigo': 6300, 'id': 40587, 'nome': 'Marzupializa\x87Æo de cisto', 'score': 0.9167}, {'codigo': 1000, 'id': 40712, 'nome': 'Aplica\x87Æo de Cariost tico - (sessÆo)', 'score': 0.5357}, {'codigo': 5090, 'id': 40604, 'nome': 'Imobiliza\x87Æo dent ria (esplintagem)', 'score': 0.4912}]",,sem_candidato_semantico_confiavel,,,
easy,32,6310,Reconstrução parcial do lábio traumatizado,,,,[],[],"[{'codigo': 6310, 'id': 40588, 'nome': 'Reconstru\x87Æo parcial do l bio traumatizado', 'score': 0.9286}, {'codigo': 6320, 'id': 40589, 'nome': 'Reconstru\x87Æo total do l bio traumatizado', 'score': 0.8293}, {'codigo': 8390, 'id': 40766, 'nome': 'Pr¢tese Parcial Remov¡vel - (por arcada)', 'score': 0.4872}]",,sem_candidato_semantico_confiavel,,,
easy,33,6320,Reconstrução total do lábio traumatizado,,,,[],[],"[{'codigo': 6320, 'id': 40589, 'nome': 'Reconstru\x87Æo total do l bio traumatizado', 'score': 0.925}, {'codigo': 6310, 'id': 40588, 'nome': 'Reconstru\x87Æo parcial do l bio traumatizado', 'score': 0.8293}, {'codigo': 8420, 'id': 40769, 'nome': 'Pr¢tese Total - (por arcada)', 'score': 0.4688}]",,sem_candidato_semantico_confiavel,,,
easy,34,6330,Suturas múltiplas da face ou lábio,,,,[],[],"[{'codigo': 6330, 'id': 40590, 'nome': 'Suturas m£ltiplas da face ou l bio', 'score': 0.9412}, {'codigo': 6340, 'id': 40591, 'nome': 'Suturas simples da face ou l bio', 'score': 0.8485}, {'codigo': 5210, 'id': 40617, 'nome': 'Restaura\x87Æo em Resina Direta - (1 Face)', 'score': 0.4638}]",,sem_candidato_semantico_confiavel,,,
easy,35,6340,Suturas simples da face ou lábio,,,,[],[],"[{'codigo': 6340, 'id': 40591, 'nome': 'Suturas simples da face ou l bio', 'score': 0.9688}, {'codigo': 6330, 'id': 40590, 'nome': 'Suturas m£ltiplas da face ou l bio', 'score': 0.8485}, {'codigo': 6270, 'id': 40584, 'nome': 'Exodontia simples - (Anteriores)', 'score': 0.5}]",,sem_candidato_semantico_confiavel,,,
easy,38,6370,Tratamento cirúrgico do lábio leporino,,,,[],[],"[{'codigo': 6370, 'id': 40594, 'nome': 'Tratamento cir£rgico do l bio leporino', 'score': 0.9474}, {'codigo': 4200, 'id': 40644, 'nome': 'Tratamento cirurgico de lesÆo endo-perio - (Curetagem)', 'score': 0.6136}, {'codigo': 4210, 'id': 40645, 'nome': 'Tratamento cirurgico de lesÆo endo-perio com enxerto leofilizado', 'score': 0.6078}]",,sem_candidato_semantico_confiavel,,,
