acao_futura_bloqueada,campos_atuais,campos_preservados,campos_propostos,candidatos_brana_por_codigo,candidatos_brana_por_nome,candidatos_easy_dental,candidatos_por_similaridade,codconv,codconv_easy,codigo,codigo_brana_atual,divergencias,especialidade,id,id_brana,justificativa,metodo_match,motivo_bloqueio,nivel_confianca,nome,nome_brana_atual,nome_easy,nroproctab,nroproctab_easy,posicao_relativa,preco,simbolo,status,tipo
apply,"{'codigo': 6010, 'especialidade': '06', 'nome': 'Alveoloplastica ou alveolotomia - (por sextante)', 'preco': 0.0, 'simbolo_grafico_legacy_id': 57}","['id', 'tabela_id', 'codigo', 'procedimento_generico_id', 'materiais_vinculados', 'fases_vinculadas', 'historicos', 'chaves_estrangeiras']",{'nome': 'Alveoloplastica ou alveolotomia - (por sextante)'},,,,,,6010,,6010,['codigo_nro'],,,40558,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV,nome_exato + CODCONV,,M?DIA,,Alveoloplastica ou alveolotomia - (por sextante),Alveoloplastica ou alveolotomia - (por sextante),,2,,,,revisar,medio
apply,"{'codigo': 6040, 'especialidade': '06', 'nome': 'Cirurgia para Cisto de Desenvolvimento', 'preco': 0.0, 'simbolo_grafico_legacy_id': 45}","['id', 'tabela_id', 'codigo', 'procedimento_generico_id', 'materiais_vinculados', 'fases_vinculadas', 'historicos', 'chaves_estrangeiras']",{'nome': 'Cirurgia para Cisto de Desenvolvimento'},,,,,,6040,,6040,['codigo_nro'],,,40561,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV,nome_exato + CODCONV,,M?DIA,,Cirurgia para Cisto de Desenvolvimento,Cirurgia para Cisto de Desenvolvimento,,5,,,,revisar,medio
apply,"{'codigo': 6050, 'especialidade': '06', 'nome': 'Cirurgia para Microstomia', 'preco': 0.0, 'simbolo_grafico_legacy_id': 45}","['id', 'tabela_id', 'codigo', 'procedimento_generico_id', 'materiais_vinculados', 'fases_vinculadas', 'historicos', 'chaves_estrangeiras']",{'nome': 'Cirurgia para Microstomia'},,,,,,6050,,6050,['codigo_nro'],,,40562,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV,nome_exato + CODCONV,,M?DIA,,Cirurgia para Microstomia,Cirurgia para Microstomia,,6,,,,revisar,medio
apply,"{'codigo': 6060, 'especialidade': '06', 'nome': 'Cirurgia para Osteoma e Odontoma', 'preco': 0.0, 'simbolo_grafico_legacy_id': 45}","['id', 'tabela_id', 'codigo', 'procedimento_generico_id', 'materiais_vinculados', 'fases_vinculadas', 'historicos', 'chaves_estrangeiras']",{'nome': 'Cirurgia para Osteoma e Odontoma'},,,,,,6060,,6060,['codigo_nro'],,,40563,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV,nome_exato + CODCONV,,M?DIA,,Cirurgia para Osteoma e Odontoma,Cirurgia para Osteoma e Odontoma,,7,,,,revisar,medio
apply,"{'codigo': 6070, 'especialidade': '06', 'nome': 'Cirurgia para torus palatino unilateral', 'preco': 0.0, 'simbolo_grafico_legacy_id': 45}","['id', 'tabela_id', 'codigo', 'procedimento_generico_id', 'materiais_vinculados', 'fases_vinculadas', 'historicos', 'chaves_estrangeiras']",{'nome': 'Cirurgia para torus palatino unilateral'},,,,,,6070,,6070,['codigo_nro'],,,40564,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV,nome_exato + CODCONV,,M?DIA,,Cirurgia para torus palatino unilateral,Cirurgia para torus palatino unilateral,,8,,,,revisar,medio
apply,"{'codigo': 6080, 'especialidade': '06', 'nome': 'Ciurgia para torus mandibular bilateral', 'preco': 0.0, 'simbolo_grafico_legacy_id': 45}","['id', 'tabela_id', 'codigo', 'procedimento_generico_id', 'materiais_vinculados', 'fases_vinculadas', 'historicos', 'chaves_estrangeiras']",{'nome': 'Ciurgia para torus mandibular bilateral'},,,,,,6080,,6080,['codigo_nro'],,,40565,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV,nome_exato + CODCONV,,M?DIA,,Ciurgia para torus mandibular bilateral,Ciurgia para torus mandibular bilateral,,9,,,,revisar,medio
apply,"{'codigo': 6100, 'especialidade': '06', 'nome': 'Cirurgia para torus palatino bilateral', 'preco': 0.0, 'simbolo_grafico_legacy_id': 45}","['id', 'tabela_id', 'codigo', 'procedimento_generico_id', 'materiais_vinculados', 'fases_vinculadas', 'historicos', 'chaves_estrangeiras']",{'nome': 'Cirurgia para torus palatino bilateral'},,,,,,6100,,6100,['codigo_nro'],,,40567,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV,nome_exato + CODCONV,,M?DIA,,Cirurgia para torus palatino bilateral,Cirurgia para torus palatino bilateral,,11,,,,revisar,medio
apply,"{'codigo': 6120, 'especialidade': '06', 'nome': 'Drenagem de abcesso por via intra ou extra-oral', 'preco': 0.0, 'simbolo_grafico_legacy_id': 45}","['id', 'tabela_id', 'codigo', 'procedimento_generico_id', 'materiais_vinculados', 'fases_vinculadas', 'historicos', 'chaves_estrangeiras']",{'nome': 'Drenagem de abcesso por via intra ou extra-oral'},,,,,,6120,,6120,['codigo_nro'],,,40569,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV,nome_exato + CODCONV,,M?DIA,,Drenagem de abcesso por via intra ou extra-oral,Drenagem de abcesso por via intra ou extra-oral,,13,,,,revisar,medio
apply,"{'codigo': 6210, 'especialidade': None, 'nome': 'Exodontia de incluso', 'preco': 0.0, 'simbolo_grafico_legacy_id': 13}","['id', 'tabela_id', 'codigo', 'procedimento_generico_id', 'materiais_vinculados', 'fases_vinculadas', 'historicos', 'chaves_estrangeiras']",{'nome': 'Exodontia de incluso'},,,,,,6210,,6210,['codigo_nro'],,,40578,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV,nome_exato + CODCONV,,M?DIA,,Exodontia de incluso,Exodontia de incluso,,22,,,,revisar,medio
apply,"{'codigo': 6220, 'especialidade': None, 'nome': 'Exodontia de incluso impactado', 'preco': 0.0, 'simbolo_grafico_legacy_id': 13}","['id', 'tabela_id', 'codigo', 'procedimento_generico_id', 'materiais_vinculados', 'fases_vinculadas', 'historicos', 'chaves_estrangeiras']",{'nome': 'Exodontia de incluso impactado'},,,,,,6220,,6220,['codigo_nro'],,,40579,nome preservado como chave semantica; codigo varia entre CODCONV e NROPROCTAB conforme presenca de CODCONV,nome_exato + CODCONV,,M?DIA,,Exodontia de incluso impactado,Exodontia de incluso impactado,,23,,,,revisar,medio
