id_brana,tabela_id,codigo,nome_brana,nome_easy,diferencas,caracteres_corrompidos,nroproctab,codconv,especialidade,preco,candidato,motivo_nao_correcao_automatica,acao
40559,18,6020,Bi¢psia,Biópsia,divergencia textual com correspondencia aproximada na fonte canonica,,3,6020,,,aproximacao_textual,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40560,18,6030,Cirurgia de Hipertrofia de L bio,Cirurgia de Hipertrofia de Lábio,divergencia textual com correspondencia aproximada na fonte canonica,,4,6030,,,aproximacao_textual,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40566,18,6090,Ciurgia para t¢rus mandibular unilateral,Ciurgia para tórus mandibular unilateral,divergencia textual com correspondencia aproximada na fonte canonica,,10,6090,,,aproximacao_textual,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40570,18,6130,Cirurgia explorat¢ria,Cirurgia exploratória,divergencia textual com correspondencia aproximada na fonte canonica,,14,6130,,,aproximacao_textual,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40574,18,6170,ExcisÆo de Mucocele,Excisão de Mucocele,divergencia textual com correspondencia aproximada na fonte canonica,,18,6170,,,aproximacao_textual,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40577,18,6200,Exodontia de dec¡duos,Exodontia de decíduos,divergencia textual com correspondencia aproximada na fonte canonica,,21,6200,,,aproximacao_textual,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40590,18,6330,Suturas m£ltiplas da face ou l bio,Suturas múltiplas da face ou lábio,divergencia textual com correspondencia aproximada na fonte canonica,,34,6330,,,aproximacao_textual,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40591,18,6340,Suturas simples da face ou l bio,Suturas simples da face ou lábio,divergencia textual com correspondencia aproximada na fonte canonica,,35,6340,,,aproximacao_textual,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40594,18,6370,Tratamento cir£rgico do l bio leporino,Tratamento cirúrgico do lábio leporino,divergencia textual com correspondencia aproximada na fonte canonica,,38,6370,,,aproximacao_textual,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40596,18,5010,Ajuste oclusal - (por sessÆo),Ajuste oclusal - (por sessão),divergencia textual com correspondencia aproximada na fonte canonica,,40,5010,,,aproximacao_textual,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40605,18,5121,N£cleo de preenchimento,Núcleo de preenchimento,divergencia textual com correspondencia aproximada na fonte canonica,,49,5121,,,aproximacao_textual,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40607,18,5110,N£cleo de preenchimento em resina,Núcleo de preenchimento em resina,divergencia textual com correspondencia aproximada na fonte canonica,,51,5110,,,aproximacao_textual,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40608,18,5120,N£cleo fibra de vidro,Núcleo fibra de vidro,divergencia textual com correspondencia aproximada na fonte canonica,,52,5120,,,aproximacao_textual,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40610,18,5140,N£cleo rosqueavel - (Roach),Núcleo rosqueavel - (Roach),divergencia textual com correspondencia aproximada na fonte canonica,,54,5140,,,aproximacao_textual,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40616,18,5200,Procedimento 5200,,nao foi possivel associar nome canonico com seguranca,,,,,,sem_correspondencia,nao foi possivel associar nome canonico com seguranca,BLOQUEAR
40623,18,5270,Tratamento Expectante com H. C lcio,Tratamento Expectante com H. Cálcio,divergencia textual com correspondencia aproximada na fonte canonica,,67,5270,,,aproximacao_textual,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40635,18,4110,Preparo para N£cleo intra-radicular,Preparo para Núcleo intra-radicular,divergencia textual com correspondencia aproximada na fonte canonica,,79,4110,,,aproximacao_textual,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40644,18,4200,Tratamento cirurgico de lesÆo endo-perio - (Curetagem),Tratamento cirurgico de lesão endo-perio - (Curetagem),divergencia textual com correspondencia aproximada na fonte canonica,,88,4200,,,aproximacao_textual,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40645,18,4210,Tratamento cirurgico de lesÆo endo-perio com enxerto leofilizado,Tratamento cirurgico de lesão endo-perio com enxerto leofilizado,divergencia textual com correspondencia aproximada na fonte canonica,,89,4210,,,aproximacao_textual,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40650,18,4260,Tratamento de dentes c/ rizogenese incompleta - (Por sessÆo),Tratamento de dentes c/ rizogenese incompleta - (Por sessão),divergencia textual com correspondencia aproximada na fonte canonica,,94,4260,,,aproximacao_textual,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40660,18,2080,Consulta Inicial para Exame cl¡nico,Consulta Inicial para Exame clínico,divergencia textual com correspondencia aproximada na fonte canonica,,104,2080,,,aproximacao_textual,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40662,18,2100,Exame para Per¡cia Inicial e Final,Exame para Perícia Inicial e Final,divergencia textual com correspondencia aproximada na fonte canonica,,106,2100,,,aproximacao_textual,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40670,18,7022,Implante ¢sseo integr vel - Cone Morse,Implante ósseo integrável - Cone Morse,divergencia textual com correspondencia aproximada na fonte canonica,,114,7022,,,aproximacao_textual,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40671,18,7021,Implante ¢sseo integr vel - H. Interno,Implante ósseo integrável - H. Interno,divergencia textual com correspondencia aproximada na fonte canonica,,115,7021,,,aproximacao_textual,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40672,18,7020,Implante ¢sseo integr vel - Standard,Implante ósseo integrável - Standard,divergencia textual com correspondencia aproximada na fonte canonica,,116,7020,,,aproximacao_textual,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40679,18,3050,Aumento de Coroa Cl¡nica - (Osteotomia e deslize apical),Aumento de Coroa Clínica - (Osteotomia e deslize apical),divergencia textual com correspondencia aproximada na fonte canonica,,123,3050,,,aproximacao_textual,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40680,18,3060,Aumento de Coroa Cl¡nica - (Osteotomia),Aumento de Coroa Clínica - (Osteotomia),divergencia textual com correspondencia aproximada na fonte canonica,,124,3060,,,aproximacao_textual,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
40681,18,3070,Aumento de Coroa Cl¡nica - (Plastia),Aumento de Coroa Clínica - (Plastia),divergencia textual com correspondencia aproximada na fonte canonica,,125,3070,,,aproximacao_textual,divergencia textual com correspondencia aproximada na fonte canonica,REVISAR
